store_id,timezone_str
9.0372E+17,America/Denver
9.98879E+17,America/Denver
9.98879E+17,America/Denver
9.98879E+17,America/Denver
9.98879E+17,America/Denver
9.98879E+17,America/Denver
9.98879E+17,America/Denver
9.98879E+17,America/Denver
2.25691E+18,America/Denver
2.25691E+18,America/Denver
2.25691E+18,America/Denver
2.25691E+18,America/Denver
2.25691E+18,America/Denver
2.25691E+18,America/Denver
2.25691E+18,America/Denver
3.05277E+18,America/Denver
3.05277E+18,America/Denver
3.05277E+18,America/Denver
3.05277E+18,America/Denver
3.05277E+18,America/Denver
8.59708E+18,America/Denver
8.59708E+18,America/Denver
2.81825E+18,America/Denver
2.81825E+18,America/Denver
2.81825E+18,America/Denver
2.81825E+18,America/Denver
2.81825E+18,America/Denver
2.81825E+18,America/Denver
2.81825E+18,America/Denver
2.41348E+18,America/Denver
7.05161E+18,America/Denver
7.05161E+18,America/Denver
5.09976E+18,America/Denver
7.6337E+18,America/Denver
5.00055E+18,America/Denver
5.00055E+18,America/Denver
7.16025E+18,America/Denver
7.16025E+18,America/Denver
4.59439E+18,America/Denver
4.59439E+18,America/Denver
4.59439E+18,America/Denver
4.59439E+18,America/Denver
4.59439E+18,America/Denver
4.59439E+18,America/Denver
4.59439E+18,America/Denver
1.99643E+18,America/Denver
7.09726E+17,America/Denver
7.09726E+17,America/Denver
7.09726E+17,America/Denver
7.09726E+17,America/Denver
7.09726E+17,America/Denver
7.09726E+17,America/Denver
1.55534E+18,America/Denver
1.55534E+18,America/Denver
1.55534E+18,America/Denver
1.55534E+18,America/Denver
1.55534E+18,America/Denver
1.55534E+18,America/Denver
1.55534E+18,America/Denver
8.08647E+18,America/Denver
8.08647E+18,America/Denver
6.58842E+18,America/Denver
6.58842E+18,America/Denver
6.58842E+18,America/Denver
6.58842E+18,America/Denver
6.58842E+18,America/Denver
6.58842E+18,America/Denver
6.58842E+18,America/Denver
6.7938E+18,America/Denver
6.7938E+18,America/Denver
6.7938E+18,America/Denver
6.7938E+18,America/Denver
6.7938E+18,America/Denver
6.7938E+18,America/Denver
6.7938E+18,America/Denver
3.06213E+18,America/Denver
3.06213E+18,America/Denver
2.02609E+18,America/Denver
2.02609E+18,America/Denver
2.02609E+18,America/Denver
2.02609E+18,America/Denver
2.02609E+18,America/Denver
2.02609E+18,America/Denver
2.02609E+18,America/Denver
5.32195E+17,America/Denver
5.32195E+17,America/Denver
